urzad,kategoria,czesc,zatrudnienie_przecietne_etaty_korpusSC_2024
Generalna Dyrekcja Dróg Krajowych i Autostrad,Urzędy centralne,39,4338.58
Ministerstwo Finansów,Ministerstwa z KPRM,19,2527.86
Główny Inspektorat Ochrony Środowiska,Urzędy centralne,41,1276.78
Ministerstwo Spraw Zagranicznych,Ministerstwa z KPRM,45,1253.0
Ministerstwo Funduszy i Polityki Regionalnej,Ministerstwa z KPRM,34,1211.61
Mazowiecki Urząd Wojewódzki w Warszawie,Urzędy wojewódzkie,85/14,1084.45
Główny Inspektorat Transportu Drogowego,Urzędy centralne,39,1012.35
Śląski Urząd Wojewódzki w Katowicach,Urzędy wojewódzkie,85/24,981.61
Małopolski Urząd Wojewódzki w Krakowie,Urzędy wojewódzkie,85/12,977.72
Ministerstwo Rozwoju i Technologii,Ministerstwa z KPRM,20,925.5
Wielkopolski Urząd Wojewódzki w Poznaniu,Urzędy wojewódzkie,85/30,909.06
Ministerstwo Zdrowia,Ministerstwa z KPRM,46,835.41
Ministerstwo Klimatu i Środowiska,Ministerstwa z KPRM,51,828.85
Ministerstwo Rolnictwa i Rozwoju Wsi,Ministerstwa z KPRM,62,801.56
Kancelaria Prezesa Rady Ministrów,Ministerstwa z KPRM,23,783.38
Komenda Główna Policji,Urzędy centralne,42,762.95
Ministerstwo Obrony Narodowej,Ministerstwa z KPRM,29,743.05
Ministerstwo Sprawiedliwości,Ministerstwa z KPRM,37,722.0
Łódzki Urząd Wojewódzki w Łodzi,Urzędy wojewódzkie,85/10,719.96
Ministerstwo Spraw Wewnętrznych i Administracji,Ministerstwa z KPRM,42,714.1
Ministerstwo Infrastruktury,Ministerstwa z KPRM,39,706.1
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Ministerstwa z KPRM,63,701.97
Dolnośląski Urząd Wojewódzki we Wrocławiu,Urzędy wojewódzkie,85/02,695.46
Lubelski Urząd Wojewódzki w Lublinie,Urzędy wojewódzkie,85/06,684.38
Główny Urząd Statystyczny,Urzędy centralne,58,676.51
Podkarpacki Urząd Wojewódzki w Rzeszowie,Urzędy wojewódzkie,85/18,606.24
Pomorski Urząd Wojewódzki w Gdańsku,Urzędy wojewódzkie,85/22,602.25
Urząd Ochrony Konkurencji i Konsumentów,Urzędy centralne,53,593.0
Ministerstwo Kultury i Dziedzictwa Narodowego,Ministerstwa z KPRM,24,557.51
Urząd Komunikacji Elektronicznej,Urzędy centralne,76,536.02
Kujawsko-pomorski Urząd Wojewódzki w Bydgoszczy,Urzędy wojewódzkie,85/04,525.0
"Urząd Rejestracji Produktów Leczniczych, Wyrobów Medycznych i Produktów Biobójczych",Urzędy centralne,46,511.05
Zachodniopomorski Urząd Wojewódzki w Szczecinie,Urzędy wojewódzkie,85/32,501.27
38182.379999999997,12870.999999999995,651,495.0
Warmińsko-Mazurski Urząd Wojewódzki w Olsztynie,Urzędy wojewódzkie,85/28,476.51
Podlaski Urząd Wojewódzki w Białymstoku,Urzędy wojewódzkie,85/20,476.4
Lubuski Urząd Wojewódzki w Gorzowie Wielkopolskim,Urzędy wojewódzkie,85/08,459.09
Świętokrzyski Urząd Wojewódzki w Kielcach,Urzędy wojewódzkie,85/26,436.75
Wyższy Urząd Górniczy,Urzędy centralne,60,404.3
Ministerstwo Nauki i Szkolnictwa Wyższego,Ministerstwa z KPRM,28,387.7
Ministerstwo Cyfryzacji,Ministerstwa z KPRM,27,375.14
Urząd Regulacji Energetyki,Urzędy centralne,50,367.87
Urząd Lotnictwa Cywilnego,Urzędy centralne,39,360.4
Urząd do Spraw Cudzoziemców,Urzędy centralne,42,350.37
Opolski Urząd Wojewódzki w Opolu,Urzędy wojewódzkie,85/16,344.96
Główny Urząd Miar,Urzędy centralne,64,300.45
Główny Inspektorat Ochrony Roślin i Nasiennictwa,Urzędy centralne,32,299.03
Ministerstwo Aktywów Państwowych,Ministerstwa z KPRM,55,298.9
Ministerstwo Edukacji Narodowej,Ministerstwa z KPRM,30,295.45
Urząd Transportu Kolejowego,Urzędy centralne,71,263.01
Urząd Patentowy Rzeczypospolitej Polskiej,Urzędy centralne,61,250.51
Główny Inspektorat Jakości Handlowej Artykułów Rolno-Spożywczych,Urzędy centralne,35,243.18
Ministerstwo Sportu i Turystyki,Ministerstwa z KPRM,40,198.41
Główny Urząd Nadzoru Budowlanego,Urzędy centralne,18,194.76
Komenda Główna Straży Granicznej,Urzędy centralne,42,182.49
Główny Inspektorat Sanitarny,Urzędy centralne,46,160.85
Generalna Dyrekcja Ochrony Środowiska,Urzędy centralne,41,159.95
Główny Inspektorat Farmaceutyczny,Urzędy centralne,46,152.93
Urząd do Spraw Kombatantów i Osób Represjonowanych,Urzędy centralne,54,144.24
Państwowa Agencja Atomistyki,Urzędy centralne,68,140.13
Główny Urząd Geodezji i Kartografii,Urzędy centralne,18,136.03
Urząd Zamówień Publicznych,Urzędy centralne,49,133.0
Główny Inspektorat Weterynarii,Urzędy centralne,32,119.46
Biuro Rzecznika Praw Pacjenta,Urzędy centralne,66,110.0
Komenda Główna Państwowej Straży Pożarnej,Urzędy centralne,42,88.38
Ministerstwo Przemysłu,Ministerstwa z KPRM,48,69.0
Naczelna Dyrekcja Archiwów Państwowych,Urzędy centralne,24,66.43
Główny Inspektorat Rybołówstwa Morskiego z siedzibą w Słupsku,Urzędy centralne,62,61.83
Biuro do spraw Substancji Chemicznych,Urzędy centralne,46,27.93
