dept,name,url
DKB,"WOJEWÓDZKI SĄD ADMINISTRACYJNY W BYDGOSZCZY ul. Jana Kazimierza 5, 85-035 BYDGOSZCZ Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dkb~p_26_001_202601120841541768203714~id4~01,typ,kj.pdf"
DKB,"ZARZĄD DRÓG MIEJSKICH I KOMUNIKACJI PUBLICZNEJ W BYDGOSZCZY ul. Toruńska 174A, 85-844 BYDGOSZCZ Wystąpienie Data publikacji : 2026-08-04 11:","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dkb~p_26_001_202601120841541768203714~id6~01,typ,kj.pdf"
DKI,"Starostwo Powiatowe w Ostrowcu Świętokrzyskim 27-400 Ostrowiec Świętokrzyski, ul. Iłżecka 37 Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dki~p_26_001_202601120841541768203714~id4~01,typ,kj.pdf"
DKI,"Świętokrzyski Urząd Wojewódzki w Kielcach 25-516 Kielce, al. IX Wieków Kielc 3 Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dki~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf"
DKI,"Urząd Miasta i Gminy Łagów 26-025 Łagów, ul. Rynek 62 Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dki~p_26_001_202601120841541768203714~id3~02,typ,kj.pdf"
DKI,"Wojewódzki Inspektorat Farmaceutyczny w Kielcach 25-516 Kielce, al. IX Wieków Kielc 3 Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dki~p_26_001_202601120841541768203714~id1~01,typ,kj.pdf"
DKI,"Wojewódzki Urząd Ochrony Zabytków w Kielcach 25-502 Kielce, ul. Ignacego Paderewskiego 34A Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dki~p_26_001_202601120841541768203714~id2~01,typ,kj.pdf"
DLL,"KOMENDA WOJEWÓDZKA POLICJI W LUBLINIE 20-019 LUBLIN, UL. NARUTOWICZA 73 Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dll~p_26_001_202601120841541768203714~id3~01,typ,kj.pdf"
DLL,"LUBELSKI URZĄD WOJEWÓDZKI W LUBLINIE 20-914 LUBLIN, UL. SPOKOJNA 4 Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dll~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf"
DLL,"PIERWSZY URZĄD SKARBOWY W LUBLINIE 20-027 LUBLIN, UL. SĄDOWA 5 Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dll~p_26_001_202601120841541768203714~id5~01,typ,kj.pdf"
DLL,"URZĄD GMINY GŁUSK UL. RYNEK 1, DOMINÓW 20-388 LUBLIN Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dll~p_26_001_202601120841541768203714~id6~01,typ,kj.pdf"
DLL,"WOJEWÓDZKI INSPEKTORAT FARMACEUTYCZNY W LUBLINIE UL. LUBOMELSKA 1-3, 20-074 LUBLIN Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dll~p_26_001_202601120841541768203714~id1~01,typ,kj.pdf"
DLL,"WOJEWÓDZKI SĄD ADMINISTRACYJNY W LUBLINIE UL. M. SKŁODOWSKIEJ-CURIE 40, 20-029 LUBLIN Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dll~p_26_001_202601120841541768203714~id4~01,typ,kj.pdf"
DLL,"WOJEWÓDZKI URZĄD OCHRONY ZABYTKÓW W LUBLINIE 20-113 LUBLIN, UL. ARCHIDIAKOŃSKA 4 Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dll~p_26_001_202601120841541768203714~id2~01,typ,kj.pdf"
DLO,"ŁÓDZKI URZĄD WOJEWÓDZKI ul. Piotrkowska 104, 90-926 ŁÓDŹ Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dlo~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf"
DLO,"PIERWSZY URZĄD SKARBOWY ŁÓDŹ-BAŁUTY ul. Zachodnia 47, 91-066 ŁÓDŹ Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dlo~p_26_001_202601120841541768203714~id3~01,typ,kj.pdf"
DLO,"URZĄD MARSZAŁKOWSKI WOJEWÓDZTWA ŁÓDZKIEGO al. Piłsudskiego 8, 90-051 ŁÓDŹ Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dlo~p_26_001_202601120841541768203714~id4~01,typ,kj.pdf"
DLO,"WOJEWÓDZKI INSPEKTORAT FARMACEUTYCZNY W ŁODZI ul. Fabryczna 25, 90-341 ŁÓDŹ Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dlo~p_26_001_202601120841541768203714~id2~01,typ,kj.pdf"
DLO,"WOJEWÓDZKI URZĄD OCHRONY ZABYTKÓW W ŁODZI ul. Piotrkowska 99, 90-425 ŁÓDŹ Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dlo~p_26_001_202601120841541768203714~id1~01,typ,kj.pdf"
DLZ,"Komenda Wojewódzka Policji w Gorzowie Wielkopolskim 66-400 Gorzów Wielkopolski, ul. Kwiatowa 10 Wystąpienie Data publikacji : 2026-08-04 11:","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dlz~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf"
DLZ,"Miejski Zakład Komunikacyjny sp. z o.o. w Żaganiu 68-100 Żagań, ul. Młynarska 6 Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dlz~p_26_001_202601120841541768203714~id2~01,typ,kj.pdf"
DLZ,"Zielonogórski Związek Powiatowo-Gminny 66-016 Czerwieńsk, ul. Ogrodowa 0 Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dlz~p_26_001_202601120841541768203714~id1~01,typ,kj.pdf"
DMK,"CENTRUM ZAKUPÓW DLA SĄDOWNICTWA - INSTYTUCJA GOSP. BUDŻET. W KRAKOWIE ul. Wadowicka 6, 30-415 KRAKÓW Wystąpienie Data publikacji : 2026-08-0","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dmk~p_26_001_202601120841541768203714~id3~01,typ,kj.pdf"
DMK,"KOLEJE MAŁOPOLSKIE SP. Z O.O. ul. Wodna 2, 30-556 KRAKÓW Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dmk~p_26_001_202601120841541768203714~id4~01,typ,kj.pdf"
DMK,"MAŁOPOLSKI URZĄD WOJEWÓDZKI W KRAKOWIE ul. Basztowa 22, 31-156 KRAKÓW Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dmk~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf"
DMK,"URZĄD GMINY PODEGRODZIE Podegrodzie 248, 33-386 PODEGRODZIE Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dmk~p_26_001_202601120841541768203714~id5~01,typ,kj.pdf"
DMK,"WOJEWÓDZKI INSPEKTORAT FARMACEUTYCZNY W KRAKOWIE Plac Szczepański 5, 31-011 KRAKÓW Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dmk~p_26_001_202601120841541768203714~id2~01,typ,kj.pdf"
DMK,"WOJEWÓDZKI URZĄD OCHRONY ZABYTKÓW W KRAKOWIE ul. Kanonicza 24, 31-002 KRAKÓW Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dmk~p_26_001_202601120841541768203714~id1~01,typ,kj.pdf"
DMW,"12 Terenowy Oddział Lotniskowy w Warszawie Aleje Jerozolimskie 97, 00-909 Warszawa Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dmw~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf"
DMW,"Koleje Mazowieckie - KM Sp. z o.o. w Warszawie ul. Lubelska 26, 03-802 Warszawa Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dmw~p_26_001_202601120841541768203714~id7~01,typ,kj.pdf"
DMW,"Komenda Wojewódzka Policji z siedzibą w Radomiu ul. 11 Listopada 37/59, 26-600 Radom Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dmw~p_26_001_202601120841541768203714~id1~01,typ,kj.pdf"
DMW,"Ośrodek Studiów Wschodnich im. M. Karpia w Warszawie ul. Koszykowa 6A, 00-564 Warszawa Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dmw~p_26_001_202601120841541768203714~id5~01,typ,kj.pdf"
DMW,"Prokuratura Okręgowa Warszawa-Praga w Warszawie ul. Bródnowska 13/15, 03-439 Warszawa Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dmw~p_26_001_202601120841541768203714~id4~01,typ,kj.pdf"
DMW,"Prokuratura Regionalna w Warszawie ul. Krakowskie Przedmieście 25, 00-071 Warszawa Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dmw~p_26_001_202601120841541768203714~id3~01,typ,kj.pdf"
DMW,"Urząd Skarbowy Warszawa Bemowo ul. Białobrzeska 53A, 02-325 Warszawa Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dmw~p_26_001_202601120841541768203714~id6~01,typ,kj.pdf"
DMW,"Zakład Emerytalno-Rentowy MSWiA w Warszawie ul. Pawińskiego 17/21, 02-106 Warszawa Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dmw~p_26_001_202601120841541768203714~id2~01,typ,kj.pdf"
DMW,"Związek Powiatowo-Gminny Garwolińskie Przewozy Gminno-Powiatowe ul. Mazowiecka 26, 08-400 Garwolin Wystąpienie Data publikacji : 2026-08-04 ","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dmw~p_26_001_202601120841541768203714~id8~01,typ,kj.pdf"
DOO,"MIEJSKI ZAKŁAD KOMUNIKACJI W NYSIE SP. Z O.O. ul. Piłsudskiego 59, 48-303 NYSA Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,doo~p_26_001_202601120841541768203714~id3~01,typ,kj.pdf"
DOO,"OPOLSKI URZĄD WOJEWÓDZKI W OPOLU ul. Piastowska 14, 45-082 OPOLE Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,doo~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf"
DOO,"PIERWSZY URZĄD SKARBOWY W OPOLU ul. Tadeusza Rejtana 3B, 45-331 OPOLE Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,doo~p_26_001_202601120841541768203714~id5~01,typ,kj.pdf"
DOO,"STAROSTWO POWIATOWE W NYSIE ul. Piastowska 33, 48-300 NYSA Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,doo~p_26_001_202601120841541768203714~id4~01,typ,kj.pdf"
DOO,"WOJEWÓDZKI INSPEKTORAT FARMACEUTYCZNY W OPOLU ul. Plebiscytowa 5, 45-380 OPOLE Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,doo~p_26_001_202601120841541768203714~id1~01,typ,kj.pdf"
DOO,"WOJEWÓDZKI URZĄD OCHRONY ZABYTKÓW W OPOLU ul. Piastowska 14, 45-082 OPOLE Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,doo~p_26_001_202601120841541768203714~id2~01,typ,kj.pdf"
DPB,"Komenda Wojewódzka Policji w Białymstoku ul. Sienkiewicza 65, 15-003 Białystok Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dpb~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf"
DPB,"Podlaska Komunikacja Samochodowa NOVA Spółka Akcyjna w Białymstoku ul. Bohaterów Monte Cassino 8, 15-873 Białystok Wystąpienie Data publikac","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dpb~p_26_001_202601120841541768203714~id3~01,typ,kj.pdf"
DPB,"Prokuratura Okręgowa w Łomży Szosa Zambrowska 1/27, 18-400 Łomża Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dpb~p_26_001_202601120841541768203714~id2~01,typ,kj.pdf"
DPB,"Prokuratura Regionalna w Białystoku ul. Włókiennicza 32, 15-464 Białystok Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dpb~p_26_001_202601120841541768203714~id1~01,typ,kj.pdf"
DPG,"DRUGI URZĄD SKARBOWY W GDAŃSKU ul. Kołobrzeska 43, 80-391 GDAŃSK Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dpg~p_26_001_202601120841541768203714~id3~02,typ,kj.pdf"
DPG,"KOMENDA WOJEWÓDZKA POLICJI W GDAŃSKU ul. Okopowa 15, 80-819 GDAŃSK Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dpg~p_26_001_202601120841541768203714~id1~01,typ,kj.pdf"
DPG,"KRAJOWE BIURO WYBORCZE DELEGATURA W SŁUPSKU ul. Jana Pawła II 1, 76-200 SŁUPSK Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dpg~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf"
DPG,"STAROSTWO POWIATOWE W SŁUPSKU ul. Szarych Szeregów 14, 76-200 SŁUPSK Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dpg~p_26_001_202601120841541768203714~id4~01,typ,kj.pdf"
DPG,"URZĄD MARSZAŁKOWSKI WOJEWÓDZTWA POMORSKIEGO W GDAŃSKU ul. Okopowa 21/27, 80-810 GDAŃSK Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dpg~p_26_001_202601120841541768203714~id5~01,typ,kj.pdf"
DPG,"WOJEWÓDZKI SĄD ADMINISTRACYJNY W GDAŃSKU Al. Zwycięstwa 16/17, 80-219 GDAŃSK Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dpg~p_26_001_202601120841541768203714~id2~02,typ,kj.pdf"
DPR,"Miejska Komunikacja Samochodowa w Jaśle Sp. z o.o. ul. ks. Piotra Skargi 84, 38-200 Jasło Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dpr~p_26_001_202601120841541768203714~id4~01,typ,kj.pdf"
DPR,"Podkarpacki Urząd Wojewódzki w Rzeszowie ul. Grunwaldzka 15, 35-959 Rzeszów Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dpr~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf"
DPR,"Starostwo Powiatowe w Stalowej Woli ul. Podleśna 15, 37-450 Stalowa Wola Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dpr~p_26_001_202601120841541768203714~id3~01,typ,kj.pdf"
DPR,"Wojewódzki Inspektorat Farmaceutyczny w Rzeszowie ul. Warszawska, 35-205 Rzeszów Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dpr~p_26_001_202601120841541768203714~id1~01,typ,kj.pdf"
DPR,"Wojewódzki Urząd Ochrony Zabytków z siedzibą w Przemyślu ul. Jagiellońska 29, 37-700 Przemyśl Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dpr~p_26_001_202601120841541768203714~id2~01,typ,kj.pdf"
DWO,"FASTER SP. Z O.O. SP. K. ul. Konopnickiej 7 lok. 4, 10-168 OLSZTYN Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dwo~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf"
DWO,"FASTER WASH SP. Z O.O. ul. Szkolna 2F, 11-220 GÓROWO IŁAWECKIE Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dwo~p_26_001_202601120841541768203714~id1~01,typ,kj.pdf"
DWO,"KOMENDA WOJEWÓDZKA POLICJI W OLSZTYNIE ul. Partyzantów 6/8, 10-959 OLSZTYN Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dwo~p_26_001_202601120841541768203714~id2~01,typ,kj.pdf"
DWP,"KRAJOWE BIURO WYBORCZE DELEGATURA W KONINIE Al. 1. Maja 7, 62-510 KONIN Wystąpienie Data publikacji : 2026-08-04 11:44","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dwp~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf"
