typ,arkusz,naglowek,plan_ustawa_2025,plan_po_zmianach_2025,wykonanie_2025_FTE
państwowa osoba prawna,34 NAWA,34.0 / 170.0 / VERSION_ID / 68805189.0 / NARODOWA AGENCJA WYMIANY AKADEMICKIEJ / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 34 / XX_RAP_SPRAW_Z37 / YEAR / 20,122.0,153.0,127.0
państwowa osoba prawna,35 CŁ,35.0 / 168.0 / VERSION_ID / 68806473.0 / CENTRUM ŁUKASIEWICZ / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 35 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Część A / P,97.0,97.0,82.74
państwowa osoba prawna,36 PAŻP,36.0 / 259.0 / VERSION_ID / 68804581.0 / POLSKA AGENCJA ŻEGLUGI POWIETRZNEJ / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 36 / XX_RAP_SPRAW_Z37 / YEAR / 2025.,2235.0,2254.0,2183.0
państwowa osoba prawna,37 TDT,37.0 / 176.0 / VERSION_ID / 68484751.0 / TRANSPORTOWY DOZÓR TECHNICZNY / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 37 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / C,414.0,414.0,378.0
państwowa osoba prawna,38 NFOŚIGW,38.0 / 264.0 / VERSION_ID / 68805392.0 / NARODOWY FUNDUSZ OCHRONY ŚRODOWISKA I GOSPODARKI WODNEJ / Formatted: / Y / DOC_ATT_TYPE / 14.0 / TABELA 38 / XX_RAP_SPR,842.0,842.0,763.0
państwowa osoba prawna,39 BPN,39.0 / 253.0 / VERSION_ID / 68794324.0 / BABIOGÓRSKI PARK NARODOWY / Formatted: / Y / DOC_ATT_TYPE / 14.0 / TABELA 39 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Część,44.0,44.0,42.0
państwowa osoba prawna,40 BIAŁPN,40.0 / 250.0 / VERSION_ID / 68095410.0 / BIAŁOWIESKI PARK NARODOWY / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 40 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Część,110.0,110.0,100.0
państwowa osoba prawna,41 BIEBPN,41.0 / 250.0 / VERSION_ID / 68379853.0 / BIEBRZAŃSKI PARK NARODOWY / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 41 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Część,102.0,102.0,98.28
państwowa osoba prawna,42 BIESPN,42.0 / 250.0 / VERSION_ID / 68100106.0 / BIESZCZADZKI PARK NARODOWY / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 42 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Częś,93.0,93.0,93.0
państwowa osoba prawna,43 PNBT,"43.0 / 250.0 / VERSION_ID / 68554921.0 / PARK NARODOWY ""BORY TUCHOLSKIE"" / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 43 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 /",38.0,38.0,37.0
