urzad,kategoria,czesc,zatrudnienie_przecietne_etaty_korpusSC_2023
Generalna Dyrekcja Dróg Krajowych i Autostrad,Urzędy centralne,39,4243.22
Ministerstwo Finansów,Ministerstwa z KPRM,19,2399.84
Placówki zagraniczne,Placówki zagraniczne,45,1273.0
Główny Inspektorat Ochrony Środowiska,Urzędy centralne,41,1225.57
Ministerstwo Spraw Zagranicznych,Ministerstwa z KPRM,45,1185.0
Ministerstwo Funduszy i Polityki Regionalnej,Ministerstwa z KPRM,34,1168.81
Mazowiecki Urząd Wojewódzki w Warszawie,Urzędy wojewódzkie,85/14,1060.63
Małopolski Urząd Wojewódzki w Krakowie,Urzędy wojewódzkie,85/12,968.8
Główny Inspektorat Transportu Drogowego,Urzędy centralne,39,967.2
Śląski Urząd Wojewódzki w Katowicach,Urzędy wojewódzkie,85/24,946.07
Ministerstwo Rozwoju i Technologii,Ministerstwa z KPRM,20,896.88
Wielkopolski Urząd Wojewódzki w Poznaniu,Urzędy wojewódzkie,85/30,861.91
Ministerstwo Klimatu i Środowiska,Ministerstwa z KPRM,51,810.58
Ministerstwo Rolnictwa i Rozwoju Wsi,Ministerstwa z KPRM,35,804.74
Kancelaria Prezesa Rady Ministrów,Ministerstwa z KPRM,23,788.12
Ministerstwo Zdrowia,Ministerstwa z KPRM,46,764.61
Komenda Główna Policji,Urzędy centralne,42,760.24
Ministerstwo Obrony Narodowej,Ministerstwa z KPRM,29,752.99
Łódzki Urząd Wojewódzki w Łodzi,Urzędy wojewódzkie,85/10,705.63
Ministerstwo Spraw Wewnętrznych i Administracji,Ministerstwa z KPRM,42,703.93
Ministerstwo Rodziny i Polityki Społecznej,Ministerstwa z KPRM,44,689.11
Dolnośląski Urząd Wojewódzki we Wrocławiu,Urzędy wojewódzkie,85/02,687.92
Ministerstwo Infrastruktury,Ministerstwa z KPRM,39,687.65
Ministerstwo Sprawiedliwości,Ministerstwa z KPRM,37,667.91
Lubelski Urząd Wojewódzki w Lublinie,Urzędy wojewódzkie,85/06,667.23
Główny Urząd Statystyczny,Urzędy centralne,58,665.39
Ministerstwo Edukacji i Nauki,Ministerstwa z KPRM,30,628.76
Pomorski Urząd Wojewódzki w Gdańsku,Urzędy wojewódzkie,85/22,616.86
Podkarpacki Urząd Wojewódzki w Rzeszowie,Urzędy wojewódzkie,85/18,581.45
Urząd Ochrony Konkurencji i Konsumentów,Urzędy centralne,53,565.0
Urząd Komunikacji Elektronicznej,Urzędy centralne,76,530.2
Ministerstwo Kultury i Dziedzictwa Narodowego,Ministerstwa z KPRM,24,521.32
Zachodniopomorski Urząd Wojewódzki w Szczecinie,Urzędy wojewódzkie,85/32,478.0
Podlaski Urząd Wojewódzki w Białymstoku,Urzędy wojewódzkie,85/20,461.67
Warmińsko-Mazurski Urząd Wojewódzki w Olsztynie,Urzędy wojewódzkie,85/28,461.31
"Urząd Rejestracji Produktów Leczniczych, Wyrobów Medycznych i Produktów Biobójczych",Urzędy centralne,46,459.66
Kujawsko-pomorski Urząd Wojewódzki w Bydgoszczy,Urzędy wojewódzkie,85/04,457.0
Lubuski Urząd Wojewódzki w Gorzowie Wielkopolskim,Urzędy wojewódzkie,85/08,443.95
Świętokrzyski Urząd Wojewódzki w Kielcach,Urzędy wojewódzkie,85/26,417.02
Wyższy Urząd Górniczy,Urzędy centralne,60,395.0
Ministerstwo Cyfryzacji,Ministerstwa z KPRM,27,382.19
Urząd Lotnictwa Cywilnego,Urzędy centralne,39,365.08
Urząd Regulacji Energetyki,Urzędy centralne,50,345.65
Urząd do Spraw Cudzoziemców,Urzędy centralne,42,333.31
Opolski Urząd Wojewódzki w Opolu,Urzędy wojewódzkie,85/16,329.24
Ministerstwo Aktywów Państwowych,Ministerstwa z KPRM,55,317.24
Główny Urząd Miar,Urzędy centralne,64,298.11
Główny Inspektorat Ochrony Roślin i Nasiennictwa,Urzędy centralne,32,295.87
Urząd Patentowy Rzeczypospolitej Polskiej,Urzędy centralne,61,256.76
Urząd Transportu Kolejowego,Urzędy centralne,71,247.96
Główny Inspektorat Jakości Handlowej Artykułów Rolno-Spożywczych,Urzędy centralne,35,239.76
Ministerstwo Sportu i Turystyki,Ministerstwa z KPRM,25,187.0
Komenda Główna Straży Granicznej,Urzędy centralne,42,186.2
Główny Urząd Nadzoru Budowlanego,Urzędy centralne,18,179.46
Generalna Dyrekcja Ochrony Środowiska,Urzędy centralne,41,152.7
Urząd do Spraw Kombatantów i Osób Represjonowanych,Urzędy centralne,54,144.24
Główny Inspektorat Sanitarny,Urzędy centralne,46,140.08
Główny Inspektorat Farmaceutyczny,Urzędy centralne,46,135.31
Urząd Zamówień Publicznych,Urzędy centralne,49,134.0
Główny Urząd Geodezji i Kartografii,Urzędy centralne,18,125.79
Państwowa Agencja Atomistyki,Urzędy centralne,68,121.0
Główny Inspektorat Weterynarii,Urzędy centralne,32,110.61
Biuro Rzecznika Praw Pacjenta,Urzędy centralne,66,94.0
Komenda Główna Państwowej Straży Pożarnej,Urzędy centralne,42,84.8
Naczelna Dyrekcja Archiwów Państwowych,Urzędy centralne,24,70.31
Główny Inspektorat Rybołówstwa Morskiego z siedzibą w Słupsku,Urzędy centralne,62,59.68
Biuro do spraw Substancji Chemicznych,Urzędy centralne,46,31.73
