dept,jednostka,url,liczba,zdanie
DKA,"Śląski Urząd Wojewódzki w Katowicach ul. Jagiellońska 25, 40-032 Katowice Wystąpienie Data","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dka~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf",,"W części 85/24 – województwo śląskie wzrost przeciętnego zatrudnienia wystąpił przede wszystkim w funkcjonujących w strukturze Urzędu WZON (o 17), w Wydziale Spraw Cudzoziemców (o sześć)"
DKA,"Śląski Urząd Wojewódzki w Katowicach ul. Jagiellońska 25, 40-032 Katowice Wystąpienie Data","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dka~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf",,"W Wydziale Spraw Cudzoziemców wzrost przeciętnego zatrudnienia był związany z realizacją nowego zadania, tj. utworzeniem centrów integracji cudzoziemców (CIC), w których Wojewoda zobowiązał się zapewnić pracowników (na podstawie u"
DKA,"Śląski Urząd Wojewódzki w Katowicach ul. Jagiellońska 25, 40-032 Katowice Wystąpienie Data","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dka~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf",,W jednostkach administracji zespolonej w 2025 r. nie wystąpiły istotne zmiany przeciętnego zatrudnienia w porównaniu do roku poprzedniego. (akta kontroli tom II str. 1-27) 2.1.7
DKA,"Starostwo Powiatowe w Raciborzu Plac Stefana Okrzei 4, 47-400 Racibórz Wystąpienie Data pu","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dka~p_26_001_202601120841541768203714~id5~01,typ,kj.pdf",,NOT_FOUND
DKA,"Urząd Skarbowy Kraków-Prądnik ul. Krowoderskich Zuchów 2, 31-272 Kraków Wystąpienie Data p","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dka~p_26_001_202601120841541768203714~id4~01,typ,kj.pdf",,NOT_FOUND
DKA,"Wojewódzki Inspektorat Farmaceutyczny w Katowicach ul. Raciborska 15, 40-074 Katowice Wyst","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dka~p_26_001_202601120841541768203714~id1~01,typ,kj.pdf","22,8313","Przeciętne zatrudnienie w Inspektoracie w przeliczeniu na pełnozatrudnionych zwiększyło się w porównaniu do 2024 r. o 0,77 i wyniosło 22,8313"
DKA,"Wojewódzki Urząd Ochrony Zabytków w Katowicach ul. Francuska 12, 40-013 Katowice Wystąpien","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dka~p_26_001_202601120841541768203714~id2~01,typ,kj.pdf","50,16","Przeciętne zatrudnienie w przeliczeniu na pełnozatrudnionych wyniosło w 2025 r. 50,16 i zmniejszyło się w porównaniu do 2024 r. o 1,14"
DKA,"Związek Powiatowo-Gminny pod nazwą Jedźmy Razem ul. Pułaskiego 6, 42-300 Myszków Wystąpien","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dka~p_26_001_202601120841541768203714~id6~01,typ,kj.pdf",,NOT_FOUND
DKB,"INSPEKTORAT WSPARCIA SIŁ ZBROJNYCH W BYDGOSZCZY ul. J. Dwernickiego 1, 85-915 BYDGOSZCZ Wy","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dkb~p_26_001_202601120841541768203714~id3~01,typ,kj.pdf","169616,6","Najwyższe kwoty przeznaczono na wydatki osobowe niezaliczone do uposażeń wypłacane żołnierzom (§ 3070) w wysokości 3 339 364,8 tys. zł, (tj. 98,9% świadczeń ogółem), wydatki osobowe niezaliczone do wynagrodzeń (§ 3020) w kwocie 23"
DKB,"KOMENDA WOJEWÓDZKA POLICJI W BYDGOSZCZY ul. Powstańców Wlkp. 7, 85-090 BYDGOSZCZ Wystąpien","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dkb~p_26_001_202601120841541768203714~id5~01,typ,kj.pdf",,NOT_FOUND
DKB,"KRAJOWE BIURO WYBORCZE DELEGATURA WE WŁOCŁAWKU ul. Brzeska 6, 87-800 WŁOCŁAWEK Wystąpienie","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dkb~p_26_001_202601120841541768203714~id2~01,typ,kj.pdf",,NOT_FOUND
DKB,"URZĄD MARSZAŁKOWSKI WOJEWÓDZTWA KUJAWSKO-POMORSKIEGO W TORUNIU Pl. Teatralny 2, 87-100 TOR","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dkb~p_26_001_202601120841541768203714~id1~01,typ,kj.pdf",,NOT_FOUND
DKB,"URZĄD MIASTA BYDGOSZCZY ul. Jezuicka 1, 85-102 BYDGOSZCZ Wystąpienie Data publikacji : 202","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dkb~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf",,NOT_FOUND
DKB,"WOJEWÓDZKI SĄD ADMINISTRACYJNY W BYDGOSZCZY ul. Jana Kazimierza 5, 85-035 BYDGOSZCZ Wystąp","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dkb~p_26_001_202601120841541768203714~id4~01,typ,kj.pdf","65,47","Prezes WSA zgłosiła do blokady środki na łączną kwotę 504,0 tys. zł. (akta kontroli str. 164-165, 174-181) Przeciętne zatrudnienie w 2025 r. w przeliczeniu na pełnozatrudnionych wyniosło 65,47 etatów i było niższe od przeciętnego "
DKB,"ZARZĄD DRÓG MIEJSKICH I KOMUNIKACJI PUBLICZNEJ W BYDGOSZCZY ul. Toruńska 174A, 85-844 BYDG","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dkb~p_26_001_202601120841541768203714~id6~01,typ,kj.pdf",,NOT_FOUND
DKI,"Starostwo Powiatowe w Ostrowcu Świętokrzyskim 27-400 Ostrowiec Świętokrzyski, ul. Iłżecka ","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dki~p_26_001_202601120841541768203714~id4~01,typ,kj.pdf",,NOT_FOUND
DKI,"Świętokrzyski Urząd Wojewódzki w Kielcach 25-516 Kielce, al. IX Wieków Kielc 3 Wystąpienie","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dki~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf",1817,"Wzrost tych wydatków w stosunku do roku poprzedniego wynikał głównie ze wzrostu wynagrodzeń osobowych wraz z pochodnymi, wynagrodzeń bezosobowych i zakupu usług pozostałych (związanych m.in. z większą liczbą umów ze specjalistami "
DKI,"Świętokrzyski Urząd Wojewódzki w Kielcach 25-516 Kielce, al. IX Wieków Kielc 3 Wystąpienie","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dki~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf",563,"Przeciętne zatrudnienie w 2025 r. w ŚUW (dysponent trzeciego stopnia) wyniosło 563 osoby57 i było wyższe w porównaniu do przeciętnego zatrudnienia w 2024 r. o 16 osób (2,9%)"
DKI,"Urząd Miasta i Gminy Łagów 26-025 Łagów, ul. Rynek 62 Wystąpienie Data publikacji : 2026-0","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dki~p_26_001_202601120841541768203714~id3~02,typ,kj.pdf",,NO_TEXT_LAYER(skan)
DKI,"Wojewódzki Inspektorat Farmaceutyczny w Kielcach 25-516 Kielce, al. IX Wieków Kielc 3 Wyst","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dki~p_26_001_202601120841541768203714~id1~01,typ,kj.pdf",,"Struktura wydatków według grup ekonomicznych w 2025 r. w porównaniu z 2024 r. uległa zmianie, gdyż zwiększył się udział wydatków majątkowych (brak w 2024 r. do 6,09%), na rzecz zmniejszenia udziału wydatków bieżących (z 14,25% do "
DKI,"Wojewódzki Urząd Ochrony Zabytków w Kielcach 25-502 Kielce, ul. Ignacego Paderewskiego 34A","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dki~p_26_001_202601120841541768203714~id2~01,typ,kj.pdf",34,Wydatki WUOZ na świadczenia na rzecz osób fizycznych dotyczyły: – wypłaty ekwiwalentu za odzież ochronną dla siedmiu osób; – wypłaty ekwiwalentu za pranie odzieży ochronnej dla 28 osób; – refundacji kosztów zakupu okularów korekcy
DLL,"KOMENDA WOJEWÓDZKA POLICJI W LUBLINIE 20-019 LUBLIN, UL. NARUTOWICZA 73 Wystąpienie Data p","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dll~p_26_001_202601120841541768203714~id3~01,typ,kj.pdf",,"W stosunku do zatrudnienia wykazanego w sprawozdaniu Rb-70 za IV kwartał 2024 r. przeciętne zatrudnienie w 2025 r. zwiększyło się o 4,2%, tj. o 259 etatów"
DLL,"KOMENDA WOJEWÓDZKA POLICJI W LUBLINIE 20-019 LUBLIN, UL. NARUTOWICZA 73 Wystąpienie Data p","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dll~p_26_001_202601120841541768203714~id3~01,typ,kj.pdf",341,"Komendant poinformował, że wzrost przeciętnego zatrudnienia w 2025 r. w grupie funkcjonariuszy wynikał z obsadzenia wakujących stanowisk oraz zwiększenia liczby etatów w strukturze organizacyjnej KWP, wynikającego z realizacji zap"
DLL,"LUBELSKI URZĄD WOJEWÓDZKI W LUBLINIE 20-914 LUBLIN, UL. SPOKOJNA 4 Wystąpienie Data publik","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dll~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf",3266,"Ponad 73% środków finansowych (130 273,6 tys. zł) przeznaczono na wynagrodzenia i pochodne od wynagrodzeń, natomiast pozostałe wydatkowano głównie na zakup materiałów i usług związanych z funkcjonowaniem Urzędu. (akta kontroli tom"
DLL,"LUBELSKI URZĄD WOJEWÓDZKI W LUBLINIE 20-914 LUBLIN, UL. SPOKOJNA 4 Wystąpienie Data publik","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dll~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf",,"Poniesione zostały głównie na wynagrodzenia konsultantów wojewódzkich i członków Zespołu do Spraw Orzekania o Niepełnosprawności (8649,2 tys. zł) oraz na usługi weterynaryjne, wykonywane przez wyznaczonych lekarzy weterynarii (772"
